,Nombre,Country,Source,Latitud,Longitud,Elevation,Fecha,Tipo,Comment,2H,18O,H3,H3Error,ExcessDeuterio,Conductivity,Precipitation,TempAir,TempWater,Vp,
168,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/02/1986,Precipitation,,-22.6,-4.64,4.1,,14.52,,112,12.3,,11.7,
169,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/03/1986,Precipitation,,5,-1.54,4,,17.32,,61,13,,12,
170,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/04/1986,Precipitation,,-50.8,-7.24,4.5,,7.12,,96,13.9,,13.4,
171,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/05/1986,Precipitation,,-68.9,-9.71,3.7,,8.78,,74,13.9,,12.9,
172,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/06/1986,Precipitation,,-98.9,-13.38,4,,8.14,,95,13.3,,12.3,
173,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/07/1986,Precipitation,,-72.2,-10.15,3.8,,9,,36,12.8,,11.5,
174,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/08/1986,Precipitation,,-66.3,-9.54,3.1,,10.02,,38,13.2,,10.9,
175,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/09/1986,Precipitation,,-98.8,-13.72,3.7,,10.96,,57,13.3,,11.6,
176,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/10/1986,Precipitation,,-111,-15.71,3.6,,14.68,,218,13.4,,13.2,
177,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/11/1986,Precipitation,,-67.4,-9.48,3.2,,8.44,,122,13.5,,13.2,
178,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/12/1986,Precipitation,,-22.3,-2.63,,,-1.26,,4,13,,11.9,
